,tip,IUCNname,intree,intraits,treename,traitname,proxy,
25,Akodon_caenosus,,missing,missing,Akodon_lutescens,Akodon_lutescens,,
279,Neotoma_insularis,,missing,missing,Neotoma_lepida,Neotoma_lepida,,
349,Oligoryzomys_utiaritensis,,missing,missing,Oligoryzomys_nigripes,Oligoryzomys_nigripes,,
506,Rhipidomys_albujai,,missing,missing,,,Rhipidomys_latimanus,
562,Thomasomys_auricularis,,missing,missing,Thomasomys_pyrrhonotus,Thomasomys_pyrrhonotus,,
563,Thomasomys_australis,,missing,missing,Thomasomys_daphne,Thomasomys_daphne,,
570,Thomasomys_contradictus,,missing,missing,Thomasomys_cinereiventer,Thomasomys_cinereiventer,,
572,Thomasomys_dispar,,missing,missing,Thomasomys_cinereiventer,Thomasomys_cinereiventer,,
574,Thomasomys_emeritus,,missing,missing,Thomasomys_laniger,Thomasomys_laniger,,
576,Thomasomys_fumeus,,missing,missing,Thomasomys_rhoadsi,Thomasomys_rhoadsi,,
587,Thomasomys_nicefori,,missing,missing,Thomasomys_popayanus,Thomasomys_popayanus,,
595,Thomasomys_princeps,,missing,missing,Thomasomys_aureus,Thomasomys_aureus,,
65,Andalgalomys_roigi,synonym for A. olrogi,missing,traits,Andalgalomys_olrogi,Andalgalomys_olrogi,,
357,Oryzomys_alfaroi,,missing,traits,Handleyomys_alfaroi,,,
359,Oryzomys_chapmani,,missing,traits,Handleyomys_chapmani,,,
366,Oryzomys_rhabdops,,missing,traits,Handleyomys_rhabdops,,,
367,Oryzomys_rostratus,,missing,traits,Handleyomys_rostratus,,,
368,Oryzomys_saturatior,,missing,traits,Handleyomys_saturatior,,,
549,Sigmodon_zanjonensis,,missing,traits,,,Sigmodon_hispidus,
1,Abrawayaomys_chebezi,,upham,missing,,,Abrawayaomys_ruschii,
9,Abrothrix_manni,,upham,missing,,,Abrothrix_sanborni,
13,Aegialomys_galapagoensis,used to be Oryzomys galapagoensis,upham,missing,,Oryzomys_galapagoensis,,
14,Aegialomys_xanthaeolus,used to be O. xanthaeolus,upham,missing,,Oryzomys_xanthaeolus,,
31,Akodon_josemariarguedasi,,upham,missing,,Akodon_orophilus,,
48,Akodon_philipmyersi,,upham,missing,,,Akodon_lindberghi,
49,Akodon_polopi,,upham,missing,,,Akodon_sylvanus,
88,Calassomys_apicalis,,upham,missing,,,Calomys_sorellus,This is a stretch as Calassomys is a new genus based on a new animal that was caught. Calomys sorellus was picked only from a phylogenetic tree showing it as the most ancestral Calomys species and therefore closest to Calassomys
92,Calomys_cerqueirai,,upham,missing,,,Calomys_expulsus,
94,Calomys_fecundus,,upham,missing,,,Calomys_boliviae,
103,Cerradomys_akroai,,upham,missing,,,Oryzomys_scotti,
104,Cerradomys_goytaca,,upham,missing,,,Oryzomys_subflavus,
105,Cerradomys_langguthi,,upham,missing,,Oryzomys_subflavus,,
106,Cerradomys_maracajuensis,,upham,missing,,Oryzomys_maracajuensis,,
107,Cerradomys_marinhus,,upham,missing,,Oryzomys_marinhus,,
108,Cerradomys_scotti,,upham,missing,,Oryzomys_scotti,,
109,Cerradomys_subflavus,,upham,missing,,Oryzomys_subflavus,,
110,Cerradomys_vivoi,,upham,missing,,Oryzomys_subflavus,,
118,Delomys_altimontanus,,upham,missing,,,Delomys_dorsalis,
129,Drymoreomys_albimaculatus,,upham,missing,,,Oryzomys_polius,
130,Eligmodontia_bolsonensis,,upham,missing,,Eligmodontia_typus,,
131,Eligmodontia_dunaris,,upham,missing,,,Eligmodontia_puerulus,
132,Eligmodontia_hirtipes,,upham,missing,,Eligmodontia_puerulus,,
137,Eremoryzomys_polius,used to be Oryzomys polius,upham,missing,,Oryzomys_polius,,
142,Euryoryzomys_emmonsae,used to by Oryzomys emmonsae,upham,missing,,Oryzomys_emmonsae,,
143,Euryoryzomys_lamia,used to be O. lamia,upham,missing,,Oryzomys_lamia,,
144,Euryoryzomys_legatus,used to be O. legatus,upham,missing,,Oryzomys_legatus,,
